"﻿""jobClcd""",jobClcdNM,jobCd,jobNm,keywords
013,전문서비스 관리자,K000000990,대학교 총장 및 대학학장,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000001032,정보통신관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000001171,유치원 원장 및 원감,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000001190,연구관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
014,미용·여행·숙박·음식·경비·청소 관리자,K000000950,음식서비스관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
014,미용·여행·숙박·음식·경비·청소 관리자,K000000989,환경∙청소∙경비 관련 관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
014,미용·여행·숙박·음식·경비·청소 관리자,K000000991,여행·호텔관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
015,영업·판매·운송 관리자,K000001028,영업·판매관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
015,영업·판매·운송 관리자,K000001094,운송관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
016,건설·채굴·제조·생산 관리자,K000000895,건설·채굴관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
016,건설·채굴·제조·생산 관리자,K000001018,전기·가스·수도관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
016,건설·채굴·제조·생산 관리자,K000001173,제조·생산관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
021,정부·공공행정 전문가,K000000925,정부·공공행정전문가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
022,경영·인사 전문가,K000000875,인적자원전문가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
022,경영·인사 전문가,K000000944,경영·진단전문가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
022,경영·인사 전문가,K000007562,노무사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
023,회계·세무·감정 전문가,K000007449,회계사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
023,회계·세무·감정 전문가,K000007500,관세사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
023,회계·세무·감정 전문가,K000007514,감정평가사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
023,회계·세무·감정 전문가,K000007525,세무사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
024,광고·조사·상품기획·행사기획 전문가,K000000872,광고·홍보·마케팅전문가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
024,광고·조사·상품기획·행사기획 전문가,K000000955,행사기획자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
024,광고·조사·상품기획·행사기획 전문가,K000000997,상품기획자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
024,광고·조사·상품기획·행사기획 전문가,K000001139,조사전문가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
025,정부·공공 행정 사무원,K000000995,일반행정공무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
025,정부·공공 행정 사무원,K000001040,관세행정사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
025,정부·공공 행정 사무원,K000001201,법원공무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
025,정부·공공 행정 사무원,K000007456,병무행정사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
025,정부·공공 행정 사무원,K000007516,조세행정사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
026,경영지원 사무원,K000001069,광고·홍보·마케팅사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
026,경영지원 사무원,K000001079,경영기획사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
026,경영지원 사무원,K000001196,인사·교육·훈련사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
026,경영지원 사무원,K000001200,영업기획·관리·지원사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
026,경영지원 사무원,K000007517,총무사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
026,경영지원 사무원,K000007553,감사사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
027,회계·경리 사무원,K000007466,경리사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
027,회계·경리 사무원,K000007487,회계사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000000843,자재·구매사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000000855,물류사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000000918,무역사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000000929,수상운송사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000001001,생산관리사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000001002,항공운송사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000001010,도로운송사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000001022,품질관리사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
028,무역·운송·생산·품질 사무원,K000001155,철도·지하철운송사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000000866,출판·자료편집사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000001127,의료코디네이터,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000001170,안내 및 접수사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000001183,속기사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000001194,고객상담원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000001219,전산자료입력원 및 사무보조원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000007453,취업알선원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000007478,비서,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000007524,행정사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
029,안내·고객상담·통계·비서·사무보조 및 기타 사무원,K000007550,통계사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
031,금융·보험 전문가,K000000987,자산운용가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
031,금융·보험 전문가,K000001163,금융상품개발자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
031,금융·보험 전문가,K000001168,증권·외환딜러,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
031,금융·보험 전문가,K000001179,투자분석가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
031,금융·보험 전문가,K000001215,신용분석가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
031,금융·보험 전문가,K000007519,보험상품개발자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
031,금융·보험 전문가,K000007561,손해사정사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
032,금융·보험 사무원,K000000908,보험인수심사원(언더라이터),professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
032,금융·보험 사무원,K000001104,신용추심원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
032,금융·보험 사무원,K000001114,증권사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
032,금융·보험 사무원,K000001131,출납창구사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
032,금융·보험 사무원,K000001136,은행사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
032,금융·보험 사무원,K000001162,보험보상사무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
033,금융·보험 영업원,K000000977,보험대리인 및 중개인,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
033,금융·보험 영업원,K000001206,보험모집인,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
110,인문·사회과학 연구원,K000000834,정치학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
110,인문·사회과학 연구원,K000000898,경제학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
110,인문·사회과학 연구원,K000000949,철학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
110,인문·사회과학 연구원,K000001052,사회학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
110,인문·사회과학 연구원,K000007493,역사학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
110,인문·사회과학 연구원,K000007512,언어학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
110,인문·사회과학 연구원,K000007522,교육학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
110,인문·사회과학 연구원,K000007559,심리학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
121,자연과학 연구원 및 시험원,K000000825,자연과학시험원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
121,자연과학 연구원 및 시험원,K000000903,천문 및 기상학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
121,자연과학 연구원 및 시험원,K000000960,화학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
121,자연과학 연구원 및 시험원,K000001048,생물학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
121,자연과학 연구원 및 시험원,K000001125,수학 및 통계연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
121,자연과학 연구원 및 시험원,K000007531,지질학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
121,자연과학 연구원 및 시험원,K000007568,물리학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
122,생명과학 연구원 및 시험원,K000000836,농학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
122,생명과학 연구원 및 시험원,K000000852,생명과학시험원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
122,생명과학 연구원 및 시험원,K000000959,축산학 및 수의학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
122,생명과학 연구원 및 시험원,K000000973,임학 및 산림학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
122,생명과학 연구원 및 시험원,K000001012,수산학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
122,생명과학 연구원 및 시험원,K000001140,의학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
122,생명과학 연구원 및 시험원,K000001157,농림어업시험원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
122,생명과학 연구원 및 시험원,K000007535,약학연구원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
131,컴퓨터하드웨어·통신공학 기술자,K000000900,통신망운영기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
131,컴퓨터하드웨어·통신공학 기술자,K000000924,통신기기·장비기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
131,컴퓨터하드웨어·통신공학 기술자,K000000936,통신기술개발자 ,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
131,컴퓨터하드웨어·통신공학 기술자,K000000994,컴퓨터하드웨어기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
132,컴퓨터시스템 전문가,K000000856,컴퓨터시스템설계 및 분석가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
132,컴퓨터시스템 전문가,K000001085,정보통신컨설턴트 및 감리원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
133,소프트웨어 개발자,K000000853,시스템소프트웨어개발자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
133,소프트웨어 개발자,K000001042,모바일앱개발자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
133,소프트웨어 개발자,K000001106,웹개발자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
133,소프트웨어 개발자,K000001153,IT테스터 및 IT QA전문가,software;development;web;app;frontend;backend;fullstack;api;programming;coding;data;ai;machine learning;cloud;devops;security;network;database;sql;spring;react;node
133,소프트웨어 개발자,K000001172,웹기획자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
133,소프트웨어 개발자,K000001176,응용소프트웨어개발자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
133,소프트웨어 개발자,K000007452,가상현실전문가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
133,소프트웨어 개발자,K000007580,게임프로그래머,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
134,데이터·네트워크 및 시스템 운영 전문가,K000000968,네트워크시스템개발자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
134,데이터·네트워크 및 시스템 운영 전문가,K000000978,IT기술지원전문가,software;development;web;app;frontend;backend;fullstack;api;programming;coding;data;ai;machine learning;cloud;devops;security;network;database;sql;spring;react;node
134,데이터·네트워크 및 시스템 운영 전문가,K000001061,웹운영자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
134,데이터·네트워크 및 시스템 운영 전문가,K000001080,데이터분석가(빅데이터분석가),professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
134,데이터·네트워크 및 시스템 운영 전문가,K000001132,정보시스템운영자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
134,데이터·네트워크 및 시스템 운영 전문가,K000001134,데이터베이스운영·관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
134,데이터·네트워크 및 시스템 운영 전문가,K000007499,네트워크관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
135,정보보안 전문가,K000000832,정보보안전문가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
136,통신·방송송출 장비 기사,K000001041,방송송출장비기사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
136,통신·방송송출 장비 기사,K000001074,통신장비기사,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000829,토목안전·환경기술자 및 토목품질기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000878,도시계획·설계가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000888,지적 및 측량기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000891,교통계획·설계가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000915,건축감리기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000922,건축설비기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000940,건축시공기술자 및 견적원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000956,건축구조기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000985,조경기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000000992,토목구조설계기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000001014,건축가(건축설계사),professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000001021,지리정보시스템전문가,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000001067,토목감리기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000001073,토목시공기술자 및 견적원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000001120,교통영향평가원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000001142,건축안전·환경기술자 및 건축품질기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
140,건축·토목공학 기술자 및 시험원,K000001177,건설자재시험원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
151,기계·로봇공학 기술자 및 시험원,K000000860,로봇공학기술자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
